date,PriceUSD,CapMrktCurUSD,CapMVRVCur,SplyCur,IssTotUSD,IssTotNtv,HashRate,AdrActCnt
2021-02-06,155.792848767112,10430636093.63125581502727730568,1.81188076,66951956.88489889,1082760.2989314284,6950,283.277733261634093364667870783687175034232,175399
2021-02-07,151.527331344952,10146180233.12903615448634769032,1.7616677,66959406.88106791,1128878.6185198924,7450,302.4781926083656738394574520412187788028,179413
2021-02-08,167.325227179183,11205229898.60257244827336447738,1.93390472,66966769.37186086,1231931.9851067348375,7362.5,298.9255957292080056164606735106316201056,203157
2021-02-09,179.73615559152,12037663999.013319719609016504,2.06035708,66974081.86681645,1314320.63776299,7312.5,298.30348063381057966492752665069140625,233030
2021-02-10,182.367414369417,12215200903.38230883789838730529,2.05553457,66981269.35461337,1310765.7907801846875,7187.5,295.325013951595130528694023848061680311252,221775
2021-02-11,185.497342467525,12426092610.68672707314554517375,2.08146819,66987981.85134195,1245150.9113132615625,6712.5,275.807883273936637540264162427361015933756,213418
2021-02-12,198.126957638458,13273578796.95926583723060291518,2.20641817,66995319.34054571,1453756.551672185575,7337.5,301.488317597596174782330561845899645627496,212887
2021-02-13,226.905993016187,15203344092.96204286160563853017,2.49561358,67002831.83740091,1704631.2725341048375,7512.5,305.57391218815289019155158419745073719746,226315
2021-02-14,215.759584295992,14458086278.98909976154607032384,2.35600561,67010169.33344952,1583135.9497718413,7337.5,297.9493016852321373759890661517030242832,207903
2021-02-15,209.532994790494,14042305572.93028750934904138944,2.28293326,67017156.82998176,1464111.801098576825,6987.5,283.7370695307336639079529980585158871416,208896
2021-02-16,209.597179809236,14048089970.44460578662215953536,2.27887557,67024231.82998176,1482900.0471503447,7075,287.747604285975730263042346964355324744498,209246
2021-02-17,235.870927068011,15810748278.11444873365540947936,2.52394226,67031356.82998176,1680580.355359578375,7125,290.556281522117330451977315364139847906712,232206
2021-02-18,226.584444928088,15189925342.48382349759841439136,2.30597215,67038694.32566172,1662563.3646598457,7337.5,299.221995536977305364906890247088344437808,265855
2021-02-19,237.31104007136,15910840669.3247242288808620224,2.36836318,67046356.81736634,1818395.844546796,7662.5,312.475440328166226005238871507036628468904,277266
2021-02-20,226.407581108246,15181337379.92715280716757710306,2.25330138,67053131.81482611,1533911.36200836665,6775,280.576417180422758607125116549482626571992,247241
2021-02-21,227.274573209166,15240934995.61758859480594812426,2.24108158,67059569.31482611,1463080.065034006125,6437.5,266.880965687583806647354588144820893886208,214535
2021-02-22,206.408684223815,13843197149.9820057925754352597,2.04085151,67066931.81073438,1519683.9375978379375,7362.5,305.228909703814746361087733480124387772416,242674
2021-02-23,175.430642153697,11766840472.19897269258596220179,1.72438856,67074031.80961907,1245557.5592912487,7100,290.494754748533029371665848174007053657987,245943
2021-02-24,180.622048601708,12116284034.68282937968973704324,1.7737102,67080869.29852403,1235003.25731417845,6837.5,270.5384495948433983444270170070930624450908,230539
2021-02-25,182.627454278357,12252089063.67927960765730511188,1.79646924,67087881.78695684,1280675.0231269784625,7012.5,277.4626496309344272788449082317328205511138,231893
2021-02-26,170.081058680456,11411630180.56644118059616049496,1.66990316,67095244.28588091,1252221.7945348573,7362.5,291.3110525519308654398480904797789660473184,246935
2021-02-27,170.857928457133,11465003846.34046583376529088223,1.68025839,67102556.78428731,1249398.6018427850625,7312.5,288.74108465967013573391547693725386875,219280
2021-02-28,165.953098528752,11137142609.69670403108870414704,1.63212161,67110181.78287977,1265392.376281734,7625,300.8561173399027748397553091527233386413836,209176
2021-03-01,175.664684991833,11790195448.46038275516615254451,1.72433119,67117619.28135147,1306506.0946267579375,7437.5,293.4580151624065188921906374859392994293082,249888
2021-03-02,177.46770266771,11912522963.3871834595731300337,1.73890386,67125019.28135147,1313260.999741054,7400,296.125142980607470537346385560480474834844,246596
2021-03-03,189.700224413589,12734935410.14379099890898290424,1.85290385,67131894.27957016,1304189.042843424375,6875,282.124239599161645344650043717507127190682,239454
2021-03-04,180.837028787726,12141112256.58450177011497730408,1.76119258,67138419.26056108,1179961.61283991215,6525,267.76155134932685769723002135775624375,242203
2021-03-05,180.233422990088,12101866773.45117802647108694136,1.7553907,67145519.25320047,1279657.3032296248,7100,291.357396542241881816968320316050445940682,232928
2021-03-06,183.216630829627,12303616352.9885590949405916335,1.78323248,67153381.7496605,1440540.7598979422875,7862.5,310.7404932173959739479806971974976569349016,222546
2021-03-07,190.442175763021,12790297772.24540377129882532744,1.85071634,67161056.74071464,1461643.698981186175,7675,299.1629030573778758099368118120965414788804,225131
2021-03-08,191.094505217062,12835556447.97621519809103946634,1.85463628,67168631.73745607,1447540.87701924465,7575,295.2650147497026673457257338853106919058206,251519
2021-03-09,203.474149552087,13668555405.53957153356812178223,1.96568136,67175881.73057129,1475187.58425263075,7250,291.1199991445554192925547615218639964310256,259641
2021-03-10,200.997013652632,13503543520.5534734496509821608,1.9361456,67182806.7251319,1391904.3195444766,6925,289.04538020925156449454892284969186285708,239110
2021-03-11,201.481612121755,13537467760.40095433234144286905,1.93598389,67189594.21577531,1367556.4422764120625,6787.5,283.30620969926457164018006837362414191969,245957
2021-03-12,220.869897133988,14841536437.63939089324694875196,2.09076731,67195831.71008567,1377675.98337325015,6237.5,260.34953667502805678524202531720471526792,307815
